title,rating,body,review_text,cleaned_text
does not work with 5GHz wifi,1,Don't get duped by this phone. The description of the phone does not describe wifi support anywhere. Who makes a phone without 5GHz support in the year 2021!!! Apparently Samsung does. This pathetic piece of plastic does not support for 5GHz wifi.,does not work with 5GHz wifi Don't get duped by this phone. The description of the phone does not describe wifi support anywhere. Who makes a phone without 5GHz support in the year 2021!!! Apparently Samsung does. This pathetic piece of plastic does not support for 5GHz wifi.,"Counter({'does': 4, 'not': 3, '5ghz': 3, 'wifi': 3, 'phone': 3, 'the': 3, 'support': 3, 'this': 2, 'of': 2, 'work': 1, 'with': 1, 'don': 1, 't': 1, 'get': 1, 'duped': 1, 'by': 1, 'description': 1, 'describe': 1, 'anywhere': 1, 'who': 1, 'makes': 1, 'a': 1, 'without': 1, 'in': 1, 'year': 1, '2021': 1, 'apparently': 1, 'samsung': 1, 'pathetic': 1, 'piece': 1, 'plastic': 1, 'for': 1})"
Miserable phone. Don't buy it.,1,"Dear friends, believe me. Don't waste your money on this phone. This is the worst phone I have ever purchased. It is slow and hangs often. The network connectivity is very poor. My Jio 4G sim, which was working perfectly on my old phone is miserably slow on this phone. For watching YouTube videos, you have to wait for minutes for the video to load. I can't believe such a miserable phone can come from Samsung. And to crown it all, there is no option for return...! You can only request for a visit by the Amazon expert. I don't believe it will do any good.After two weeks I exchanged this rubbish with a Realme phone on Flipkart. I lost around Rs. 5000 on this deal, but it is better than suffering such s miserable thing. Because of this cheating I am leaving Amazon.","Miserable phone. Don't buy it. Dear friends, believe me. Don't waste your money on this phone. This is the worst phone I have ever purchased. It is slow and hangs often. The network connectivity is very poor. My Jio 4G sim, which was working perfectly on my old phone is miserably slow on this phone. For watching YouTube videos, you have to wait for minutes for the video to load. I can't believe such a miserable phone can come from Samsung. And to crown it all, there is no option for return...! You can only request for a visit by the Amazon expert. I don't believe it will do any good.After two weeks I exchanged this rubbish with a Realme phone on Flipkart. I lost around Rs. 5000 on this deal, but it is better than suffering such s miserable thing. Because of this cheating I am leaving Amazon.","Counter({'phone': 7, 'this': 6, 'is': 6, 'i': 6, 'it': 5, 'on': 5, 'for': 5, 't': 4, 'the': 4, 'miserable': 3, 'don': 3, 'believe': 3, 'to': 3, 'can': 3, 'a': 3, 'have': 2, 'slow': 2, 'and': 2, 'my': 2, 'you': 2, 'such': 2, 'amazon': 2, 'buy': 1, 'dear': 1, 'friends': 1, 'me': 1, 'waste': 1, 'your': 1, 'money': 1, 'worst': 1, 'ever': 1, 'purchased': 1, 'hangs': 1, 'often': 1, 'network': 1, 'connectivity': 1, 'very': 1, 'poor': 1, 'jio': 1, '4g': 1, 'sim': 1, 'which': 1, 'was': 1, 'working': 1, 'perfectly': 1, 'old': 1, 'miserably': 1, 'watching': 1, 'youtube': 1, 'videos': 1, 'wait': 1, 'minutes': 1, 'video': 1, 'load': 1, 'come': 1, 'from': 1, 'samsung': 1, 'crown': 1, 'all': 1, 'there': 1, 'no': 1, 'option': 1, 'return': 1, 'only': 1, 'request': 1, 'visit': 1, 'by': 1, 'expert': 1, 'will': 1, 'do': 1, 'any': 1, 'good': 1, 'after': 1, 'two': 1, 'weeks': 1, 'exchanged': 1, 'rubbish': 1, 'with': 1, 'realme': 1, 'flipkart': 1, 'lost': 1, 'around': 1, 'rs': 1, '5000': 1, 'deal': 1, 'but': 1, 'better': 1, 'than': 1, 'suffering': 1, 's': 1, 'thing': 1, 'because': 1, 'of': 1, 'cheating': 1, 'am': 1, 'leaving': 1})"
Performance & price,5,In dis price u can afford M12 ...no doubt...overall excellent performance,Performance & price In dis price u can afford M12 ...no doubt...overall excellent performance,"Counter({'performance': 2, 'price': 2, 'in': 1, 'dis': 1, 'u': 1, 'can': 1, 'afford': 1, 'm12': 1, 'no': 1, 'doubt': 1, 'overall': 1, 'excellent': 1})"
Don't buy . Screen is worst . Slow charge . Camera too bad .,1,Worst product by samsung.Don't buy this mobile.Very slow charging. In one hour charge upto 3 to 4 percent onlyDisplay is too poor qualityDischarge very fast . In a day you have to charge 2 timesCamera is very bad.,Don't buy . Screen is worst . Slow charge . Camera too bad . Worst product by samsung.Don't buy this mobile.Very slow charging. In one hour charge upto 3 to 4 percent onlyDisplay is too poor qualityDischarge very fast . In a day you have to charge 2 timesCamera is very bad.,"Counter({'is': 3, 'charge': 3, 'very': 3, 'don': 2, 't': 2, 'buy': 2, 'worst': 2, 'slow': 2, 'too': 2, 'bad': 2, 'in': 2, 'to': 2, 'screen': 1, 'camera': 1, 'product': 1, 'by': 1, 'samsung': 1, 'this': 1, 'mobile': 1, 'charging': 1, 'one': 1, 'hour': 1, 'upto': 1, '3': 1, '4': 1, 'percent': 1, 'onlydisplay': 1, 'poor': 1, 'qualitydischarge': 1, 'fast': 1, 'a': 1, 'day': 1, 'you': 1, 'have': 1, '2': 1, 'timescamera': 1})"
Samsung phone are worst quality,1,Very worst phone. Just waste of money and time. I did not any support from Samsung team and Amazon. The battery and charger getting heated up. When I call Samsung customer service they said as you have purchased from Amazon they will not support. Amazon team say that as this a Samsung phone you can call them. They are playing games and I was completely cheated by them. If you purchase from Amazon Samsung team no warranty for this product is only 7 days from the day of purchase.So be careful before you purchase the electronic from Amazon you can get cheated them.I have paid RS 11000 towards this phone.,Samsung phone are worst quality Very worst phone. Just waste of money and time. I did not any support from Samsung team and Amazon. The battery and charger getting heated up. When I call Samsung customer service they said as you have purchased from Amazon they will not support. Amazon team say that as this a Samsung phone you can call them. They are playing games and I was completely cheated by them. If you purchase from Amazon Samsung team no warranty for this product is only 7 days from the day of purchase.So be careful before you purchase the electronic from Amazon you can get cheated them.I have paid RS 11000 towards this phone.,"Counter({'samsung': 5, 'from': 5, 'amazon': 5, 'you': 5, 'phone': 4, 'and': 4, 'i': 4, 'team': 3, 'the': 3, 'they': 3, 'this': 3, 'them': 3, 'purchase': 3, 'are': 2, 'worst': 2, 'of': 2, 'not': 2, 'support': 2, 'call': 2, 'as': 2, 'have': 2, 'can': 2, 'cheated': 2, 'quality': 1, 'very': 1, 'just': 1, 'waste': 1, 'money': 1, 'time': 1, 'did': 1, 'any': 1, 'battery': 1, 'charger': 1, 'getting': 1, 'heated': 1, 'up': 1, 'when': 1, 'customer': 1, 'service': 1, 'said': 1, 'purchased': 1, 'will': 1, 'say': 1, 'that': 1, 'a': 1, 'playing': 1, 'games': 1, 'was': 1, 'completely': 1, 'by': 1, 'if': 1, 'no': 1, 'warranty': 1, 'for': 1, 'product': 1, 'is': 1, 'only': 1, '7': 1, 'days': 1, 'day': 1, 'so': 1, 'be': 1, 'careful': 1, 'before': 1, 'electronic': 1, 'get': 1, 'paid': 1, 'rs': 1, '11000': 1, 'towards': 1})"
"Slowest anf dumbest phone on phone, do not buy , don't go on it's cost",1,"Call button speed:Worst phone speed, it take at least 10 seconds to start dial once you touch the dial button.Face detection:If you put Khichdi mixture on gas , and simultaneously try to unlock phone with face detection, I am sure khichdi will get cooked faster than your face detection.Finger scan unlock-Lock button amd finger scan button are same, and stopped working within month.Camera quality:Sony Ericsson 2Mega pixel cera of 2006 had better clarity than thia camera.Working speed:This phone is winner in speed race, if you remember the tortoise and rabbit story.Moral of the story :Worst phine by samsung","Slowest anf dumbest phone on phone, do not buy , don't go on it's cost Call button speed:Worst phone speed, it take at least 10 seconds to start dial once you touch the dial button.Face detection:If you put Khichdi mixture on gas , and simultaneously try to unlock phone with face detection, I am sure khichdi will get cooked faster than your face detection.Finger scan unlock-Lock button amd finger scan button are same, and stopped working within month.Camera quality:Sony Ericsson 2Mega pixel cera of 2006 had better clarity than thia camera.Working speed:This phone is winner in speed race, if you remember the tortoise and rabbit story.Moral of the story :Worst phine by samsung","Counter({'phone': 5, 'button': 4, 'speed': 4, 'on': 3, 'you': 3, 'the': 3, 'face': 3, 'detection': 3, 'and': 3, 'it': 2, 'worst': 2, 'to': 2, 'dial': 2, 'if': 2, 'khichdi': 2, 'unlock': 2, 'than': 2, 'finger': 2, 'scan': 2, 'working': 2, 'camera': 2, 'of': 2, 'story': 2, 'slowest': 1, 'anf': 1, 'dumbest': 1, 'do': 1, 'not': 1, 'buy': 1, 'don': 1, 't': 1, 'go': 1, 's': 1, 'cost': 1, 'call': 1, 'take': 1, 'at': 1, 'least': 1, '10': 1, 'seconds': 1, 'start': 1, 'once': 1, 'touch': 1, 'put': 1, 'mixture': 1, 'gas': 1, 'simultaneously': 1, 'try': 1, 'with': 1, 'i': 1, 'am': 1, 'sure': 1, 'will': 1, 'get': 1, 'cooked': 1, 'faster': 1, 'your': 1, 'lock': 1, 'amd': 1, 'are': 1, 'same': 1, 'stopped': 1, 'within': 1, 'month': 1, 'quality': 1, 'sony': 1, 'ericsson': 1, '2mega': 1, 'pixel': 1, 'cera': 1, '2006': 1, 'had': 1, 'better': 1, 'clarity': 1, 'thia': 1, 'this': 1, 'is': 1, 'winner': 1, 'in': 1, 'race': 1, 'remember': 1, 'tortoise': 1, 'rabbit': 1, 'moral': 1, 'phine': 1, 'by': 1, 'samsung': 1})"
Such a worst service from Amazon,1,"Hi Guys, dont buy this mobile. Front camera is too bad although it has 8mp. Main camera has 48 mp. But still there is no night mode, continuous shots panorama options. I used to have all these options in my earlier samsung mobile which is a 3 years back model. Mobile gets heated very easily although I just use it for calls and little browsing . Display is not amoled so dont expect much quality here.Phone is too heavy to keep in pocket also. And finally amazon is not replacing phone although we complaint on the first day of receiving it, they simply arrange a technician visit in the last 7 days they arranged visit for 3 times . But no technician visits simply they call from Gujarat when mayne is Hyderabad and simply say we will replace mobile but to amazon they say everything is fine and close the ticket. So finally understand that these technicians are nothing but amazon employees only and Amazon I'd dragging till the replacement deadline ends . They never gonna replace mobile also leave about return.And finally this is my first mobile bought in Amazon. Till now I used to buy in Flipkart. I never had any issue with Flipkart. I decided not buy any electronics in amazon from now onwards. Finally I felt I wasted around 9k on this shit model from Samsung and buying in the great indian bluffing sale of amazon. Thanks to Amazon and Samsung for your wonderful committment to customer. You keep loosing for sure many customers during to ur bluffing stuff.","Such a worst service from Amazon Hi Guys, dont buy this mobile. Front camera is too bad although it has 8mp. Main camera has 48 mp. But still there is no night mode, continuous shots panorama options. I used to have all these options in my earlier samsung mobile which is a 3 years back model. Mobile gets heated very easily although I just use it for calls and little browsing . Display is not amoled so dont expect much quality here.Phone is too heavy to keep in pocket also. And finally amazon is not replacing phone although we complaint on the first day of receiving it, they simply arrange a technician visit in the last 7 days they arranged visit for 3 times . But no technician visits simply they call from Gujarat when mayne is Hyderabad and simply say we will replace mobile but to amazon they say everything is fine and close the ticket. So finally understand that these technicians are nothing but amazon employees only and Amazon I'd dragging till the replacement deadline ends . They never gonna replace mobile also leave about return.And finally this is my first mobile bought in Amazon. Till now I used to buy in Flipkart. I never had any issue with Flipkart. I decided not buy any electronics in amazon from now onwards. Finally I felt I wasted around 9k on this shit model from Samsung and buying in the great indian bluffing sale of amazon. Thanks to Amazon and Samsung for your wonderful committment to customer. You keep loosing for sure many customers during to ur bluffing stuff.","Counter({'amazon': 9, 'is': 9, 'i': 8, 'and': 8, 'to': 7, 'in': 7, 'mobile': 6, 'the': 5, 'they': 5, 'from': 4, 'but': 4, 'for': 4, 'finally': 4, 'a': 3, 'buy': 3, 'this': 3, 'although': 3, 'it': 3, 'samsung': 3, 'not': 3, 'simply': 3, 'dont': 2, 'camera': 2, 'too': 2, 'has': 2, 'no': 2, 'options': 2, 'used': 2, 'these': 2, 'my': 2, '3': 2, 'model': 2, 'so': 2, 'phone': 2, 'keep': 2, 'also': 2, 'we': 2, 'on': 2, 'first': 2, 'of': 2, 'technician': 2, 'visit': 2, 'say': 2, 'replace': 2, 'till': 2, 'never': 2, 'now': 2, 'flipkart': 2, 'any': 2, 'bluffing': 2, 'such': 1, 'worst': 1, 'service': 1, 'hi': 1, 'guys': 1, 'front': 1, 'bad': 1, '8mp': 1, 'main': 1, '48': 1, 'mp': 1, 'still': 1, 'there': 1, 'night': 1, 'mode': 1, 'continuous': 1, 'shots': 1, 'panorama': 1, 'have': 1, 'all': 1, 'earlier': 1, 'which': 1, 'years': 1, 'back': 1, 'gets': 1, 'heated': 1, 'very': 1, 'easily': 1, 'just': 1, 'use': 1, 'calls': 1, 'little': 1, 'browsing': 1, 'display': 1, 'amoled': 1, 'expect': 1, 'much': 1, 'quality': 1, 'here': 1, 'heavy': 1, 'pocket': 1, 'replacing': 1, 'complaint': 1, 'day': 1, 'receiving': 1, 'arrange': 1, 'last': 1, '7': 1, 'days': 1, 'arranged': 1, 'times': 1, 'visits': 1, 'call': 1, 'gujarat': 1, 'when': 1, 'mayne': 1, 'hyderabad': 1, 'will': 1, 'everything': 1, 'fine': 1, 'close': 1, 'ticket': 1, 'understand': 1, 'that': 1, 'technicians': 1, 'are': 1, 'nothing': 1, 'employees': 1, 'only': 1, 'd': 1, 'dragging': 1, 'replacement': 1, 'deadline': 1, 'ends': 1, 'gonna': 1, 'leave': 1, 'about': 1, 'return': 1, 'bought': 1, 'had': 1, 'issue': 1, 'with': 1, 'decided': 1, 'electronics': 1, 'onwards': 1, 'felt': 1, 'wasted': 1, 'around': 1, '9k': 1, 'shit': 1, 'buying': 1, 'great': 1, 'indian': 1, 'sale': 1, 'thanks': 1, 'your': 1, 'wonderful': 1, 'committment': 1, 'customer': 1, 'you': 1, 'loosing': 1, 'sure': 1, 'many': 1, 'customers': 1, 'during': 1, 'ur': 1, 'stuff': 1})"
"Sir, I am really sorry however, M12 supports only 802.11 b/g/n 2.4GHz.",2,"""Sir, I am really sorry however, M12 supports 802.11 b/g/n 2.4GHz.""- This is the response from Samsung customer service when I inquired why not able to detect to my Router 5G. Even 6K Chinese mobiles have 5G detection - so before you buy think and check as the mobile has very limited features. The battery life is not great while it is 6000.... and camera is very normal standard. The mobile as a whole is a big compromise to the cost and is not a value for money product.","Sir, I am really sorry however, M12 supports only 802.11 b/g/n 2.4GHz. ""Sir, I am really sorry however, M12 supports 802.11 b/g/n 2.4GHz.""- This is the response from Samsung customer service when I inquired why not able to detect to my Router 5G. Even 6K Chinese mobiles have 5G detection - so before you buy think and check as the mobile has very limited features. The battery life is not great while it is 6000.... and camera is very normal standard. The mobile as a whole is a big compromise to the cost and is not a value for money product.","Counter({'is': 6, 'the': 5, 'i': 3, 'not': 3, 'to': 3, 'and': 3, 'a': 3, 'sir': 2, 'am': 2, 'really': 2, 'sorry': 2, 'however': 2, 'm12': 2, 'supports': 2, '802': 2, '11': 2, 'b': 2, 'g': 2, 'n': 2, '2': 2, '4ghz': 2, '5g': 2, 'as': 2, 'mobile': 2, 'very': 2, 'only': 1, 'this': 1, 'response': 1, 'from': 1, 'samsung': 1, 'customer': 1, 'service': 1, 'when': 1, 'inquired': 1, 'why': 1, 'able': 1, 'detect': 1, 'my': 1, 'router': 1, 'even': 1, '6k': 1, 'chinese': 1, 'mobiles': 1, 'have': 1, 'detection': 1, 'so': 1, 'before': 1, 'you': 1, 'buy': 1, 'think': 1, 'check': 1, 'has': 1, 'limited': 1, 'features': 1, 'battery': 1, 'life': 1, 'great': 1, 'while': 1, 'it': 1, '6000': 1, 'camera': 1, 'normal': 1, 'standard': 1, 'whole': 1, 'big': 1, 'compromise': 1, 'cost': 1, 'value': 1, 'for': 1, 'money': 1, 'product': 1})"
Overall good product..,4,"Pros :6 gb ram128 gb storagePlus 48 mp back cameraHuge 6000mah batteryLooks are pretty good as wellFingerprint sensor is on the sideCons :Front camera is horribleScreen is not upto the markDue 6k mah battery it is little bit heavyOnly 15 watt chargerNo slow mo or other features in cameraConclusion:If you use it for general use, storage, binge watching it is a great phone but if u are gamer, photo addict, looks then it's not worth it.Although great phone by Samsung in this price range.","Overall good product.. Pros :6 gb ram128 gb storagePlus 48 mp back cameraHuge 6000mah batteryLooks are pretty good as wellFingerprint sensor is on the sideCons :Front camera is horribleScreen is not upto the markDue 6k mah battery it is little bit heavyOnly 15 watt chargerNo slow mo or other features in cameraConclusion:If you use it for general use, storage, binge watching it is a great phone but if u are gamer, photo addict, looks then it's not worth it.Although great phone by Samsung in this price range.","Counter({'is': 5, 'it': 5, 'good': 2, 'gb': 2, 'are': 2, 'the': 2, 'not': 2, 'in': 2, 'if': 2, 'use': 2, 'great': 2, 'phone': 2, 'overall': 1, 'product': 1, 'pros': 1, '6': 1, 'ram128': 1, 'storageplus': 1, '48': 1, 'mp': 1, 'back': 1, 'camerahuge': 1, '6000mah': 1, 'batterylooks': 1, 'pretty': 1, 'as': 1, 'wellfingerprint': 1, 'sensor': 1, 'on': 1, 'sidecons': 1, 'front': 1, 'camera': 1, 'horriblescreen': 1, 'upto': 1, 'markdue': 1, '6k': 1, 'mah': 1, 'battery': 1, 'little': 1, 'bit': 1, 'heavyonly': 1, '15': 1, 'watt': 1, 'chargerno': 1, 'slow': 1, 'mo': 1, 'or': 1, 'other': 1, 'features': 1, 'cameraconclusion': 1, 'you': 1, 'for': 1, 'general': 1, 'storage': 1, 'binge': 1, 'watching': 1, 'a': 1, 'but': 1, 'u': 1, 'gamer': 1, 'photo': 1, 'addict': 1, 'looks': 1, 'then': 1, 's': 1, 'worth': 1, 'although': 1, 'by': 1, 'samsung': 1, 'this': 1, 'price': 1, 'range': 1})"
Worst product from Samsung,2,"I bought this phone for reputed brand, 128GB memory, 6 GB RAM.But my bad nothing is working :- It buffers every 5 seconds in each and every audio, video including downloaded videos/audios.- Does not have 5GHz wifi singal acceptance. It shows only 12 Mbps for a 200Mbps fiber comnection for 2.4GHz wifi signal.- Mobile voice network is always low. Voice break always happens, where as all my other mobile works fone.- All applications are very slow and crashes. (Faulty software even after updates).- Sound system including ring tone is very low.- Hotspot goes off multiple times without any reason.- Battery backup 12-14 hours and takes too long to charge- No support from Samsung (Closed 3 tickets without responding)Please don't buy, you will waste yor money.","Worst product from Samsung I bought this phone for reputed brand, 128GB memory, 6 GB RAM.But my bad nothing is working :- It buffers every 5 seconds in each and every audio, video including downloaded videos/audios.- Does not have 5GHz wifi singal acceptance. It shows only 12 Mbps for a 200Mbps fiber comnection for 2.4GHz wifi signal.- Mobile voice network is always low. Voice break always happens, where as all my other mobile works fone.- All applications are very slow and crashes. (Faulty software even after updates).- Sound system including ring tone is very low.- Hotspot goes off multiple times without any reason.- Battery backup 12-14 hours and takes too long to charge- No support from Samsung (Closed 3 tickets without responding)Please don't buy, you will waste yor money.","Counter({'for': 3, 'is': 3, 'and': 3, 'from': 2, 'samsung': 2, 'my': 2, 'it': 2, 'every': 2, 'including': 2, 'wifi': 2, '12': 2, 'mobile': 2, 'voice': 2, 'always': 2, 'low': 2, 'all': 2, 'very': 2, 'without': 2, 'worst': 1, 'product': 1, 'i': 1, 'bought': 1, 'this': 1, 'phone': 1, 'reputed': 1, 'brand': 1, '128gb': 1, 'memory': 1, '6': 1, 'gb': 1, 'ram': 1, 'but': 1, 'bad': 1, 'nothing': 1, 'working': 1, 'buffers': 1, '5': 1, 'seconds': 1, 'in': 1, 'each': 1, 'audio': 1, 'video': 1, 'downloaded': 1, 'videos': 1, 'audios': 1, 'does': 1, 'not': 1, 'have': 1, '5ghz': 1, 'singal': 1, 'acceptance': 1, 'shows': 1, 'only': 1, 'mbps': 1, 'a': 1, '200mbps': 1, 'fiber': 1, 'comnection': 1, '2': 1, '4ghz': 1, 'signal': 1, 'network': 1, 'break': 1, 'happens': 1, 'where': 1, 'as': 1, 'other': 1, 'works': 1, 'fone': 1, 'applications': 1, 'are': 1, 'slow': 1, 'crashes': 1, 'faulty': 1, 'software': 1, 'even': 1, 'after': 1, 'updates': 1, 'sound': 1, 'system': 1, 'ring': 1, 'tone': 1, 'hotspot': 1, 'goes': 1, 'off': 1, 'multiple': 1, 'times': 1, 'any': 1, 'reason': 1, 'battery': 1, 'backup': 1, '14': 1, 'hours': 1, 'takes': 1, 'too': 1, 'long': 1, 'to': 1, 'charge': 1, 'no': 1, 'support': 1, 'closed': 1, '3': 1, 'tickets': 1, 'responding': 1, 'please': 1, 'don': 1, 't': 1, 'buy': 1, 'you': 1, 'will': 1, 'waste': 1, 'yor': 1, 'money': 1})"
wifi doesn't support 5ghz WIFI band,2,"Very disappointed, single band wifi doesn't support 5ghz WIFI band. My 5years old Lenovo k4 note mobile able to connect 5g wifi.  Future is 5g. But this mobile not even supports to connect 5g wifi network","wifi doesn't support 5ghz WIFI band Very disappointed, single band wifi doesn't support 5ghz WIFI band. My 5years old Lenovo k4 note mobile able to connect 5g wifi.  Future is 5g. But this mobile not even supports to connect 5g wifi network","Counter({'wifi': 6, 'band': 3, '5g': 3, 'doesn': 2, 't': 2, 'support': 2, '5ghz': 2, 'mobile': 2, 'to': 2, 'connect': 2, 'very': 1, 'disappointed': 1, 'single': 1, 'my': 1, '5years': 1, 'old': 1, 'lenovo': 1, 'k4': 1, 'note': 1, 'able': 1, 'future': 1, 'is': 1, 'but': 1, 'this': 1, 'not': 1, 'even': 1, 'supports': 1, 'network': 1})"
Not worth the money spent.,1,"I bought Samsung Galaxy M12. Initially, the mobile worked good but for the past 3-4 days the mobile is geting heats up even without using and while charging it hets heats up.Since this mobile carried 1 year warranty for manufacturing device and 6 months warranty for in-box accesories including battery.I request Amazon or Samsung(manifacturer) to replace the said mobile at the earliest.","Not worth the money spent. I bought Samsung Galaxy M12. Initially, the mobile worked good but for the past 3-4 days the mobile is geting heats up even without using and while charging it hets heats up.Since this mobile carried 1 year warranty for manufacturing device and 6 months warranty for in-box accesories including battery.I request Amazon or Samsung(manifacturer) to replace the said mobile at the earliest.","Counter({'the': 6, 'mobile': 4, 'for': 3, 'i': 2, 'samsung': 2, 'heats': 2, 'up': 2, 'and': 2, 'warranty': 2, 'not': 1, 'worth': 1, 'money': 1, 'spent': 1, 'bought': 1, 'galaxy': 1, 'm12': 1, 'initially': 1, 'worked': 1, 'good': 1, 'but': 1, 'past': 1, '3': 1, '4': 1, 'days': 1, 'is': 1, 'geting': 1, 'even': 1, 'without': 1, 'using': 1, 'while': 1, 'charging': 1, 'it': 1, 'hets': 1, 'since': 1, 'this': 1, 'carried': 1, '1': 1, 'year': 1, 'manufacturing': 1, 'device': 1, '6': 1, 'months': 1, 'in': 1, 'box': 1, 'accesories': 1, 'including': 1, 'battery': 1, 'request': 1, 'amazon': 1, 'or': 1, 'manifacturer': 1, 'to': 1, 'replace': 1, 'said': 1, 'at': 1, 'earliest': 1})"
Blown away by M12 impressively,5,"The media could not be loaded.
                




   Battery life has just blown me away impressively... A great screen and a good processor... I play heavy games on it. I'm just loving it so much. 90 herts refresh rate at this price... Feels even better than my one plus 7 pro and I feel no difference between this and my s21 ultra","Blown away by M12 impressively The media could not be loaded.
                




   Battery life has just blown me away impressively... A great screen and a good processor... I play heavy games on it. I'm just loving it so much. 90 herts refresh rate at this price... Feels even better than my one plus 7 pro and I feel no difference between this and my s21 ultra","Counter({'and': 3, 'i': 3, 'blown': 2, 'away': 2, 'impressively': 2, 'just': 2, 'a': 2, 'it': 2, 'this': 2, 'my': 2, 'by': 1, 'm12': 1, 'the': 1, 'media': 1, 'could': 1, 'not': 1, 'be': 1, 'loaded': 1, 'battery': 1, 'life': 1, 'has': 1, 'me': 1, 'great': 1, 'screen': 1, 'good': 1, 'processor': 1, 'play': 1, 'heavy': 1, 'games': 1, 'on': 1, 'm': 1, 'loving': 1, 'so': 1, 'much': 1, '90': 1, 'herts': 1, 'refresh': 1, 'rate': 1, 'at': 1, 'price': 1, 'feels': 1, 'even': 1, 'better': 1, 'than': 1, 'one': 1, 'plus': 1, '7': 1, 'pro': 1, 'feel': 1, 'no': 1, 'difference': 1, 'between': 1, 's21': 1, 'ultra': 1})"
Average Phone,3,Cons-Camera is average.Display dosent feel as smooth as 90 hertz it feels just like normal display.Battery life is ok but not as per 6000 mah only last 1.5 days with moderate usage.Also samsung does not provide any back cover with this mobile so if u buy this mobile do purchase a backcover.Pros-Customisation of samsung is good...lot of themes to change the look of your mobile screen.Buit quality is ok.Sound quality is good.Fingerprint reader is fast.Don't trust Youtubers who are just marketing this mobile for sake of money....These people are biggest frauds.,Average Phone Cons-Camera is average.Display dosent feel as smooth as 90 hertz it feels just like normal display.Battery life is ok but not as per 6000 mah only last 1.5 days with moderate usage.Also samsung does not provide any back cover with this mobile so if u buy this mobile do purchase a backcover.Pros-Customisation of samsung is good...lot of themes to change the look of your mobile screen.Buit quality is ok.Sound quality is good.Fingerprint reader is fast.Don't trust Youtubers who are just marketing this mobile for sake of money....These people are biggest frauds.,"Counter({'is': 6, 'mobile': 4, 'of': 4, 'as': 3, 'this': 3, 'average': 2, 'display': 2, 'just': 2, 'ok': 2, 'not': 2, 'with': 2, 'samsung': 2, 'good': 2, 'quality': 2, 'are': 2, 'phone': 1, 'cons': 1, 'camera': 1, 'dosent': 1, 'feel': 1, 'smooth': 1, '90': 1, 'hertz': 1, 'it': 1, 'feels': 1, 'like': 1, 'normal': 1, 'battery': 1, 'life': 1, 'but': 1, 'per': 1, '6000': 1, 'mah': 1, 'only': 1, 'last': 1, '1': 1, '5': 1, 'days': 1, 'moderate': 1, 'usage': 1, 'also': 1, 'does': 1, 'provide': 1, 'any': 1, 'back': 1, 'cover': 1, 'so': 1, 'if': 1, 'u': 1, 'buy': 1, 'do': 1, 'purchase': 1, 'a': 1, 'backcover': 1, 'pros': 1, 'customisation': 1, 'lot': 1, 'themes': 1, 'to': 1, 'change': 1, 'the': 1, 'look': 1, 'your': 1, 'screen': 1, 'buit': 1, 'sound': 1, 'fingerprint': 1, 'reader': 1, 'fast': 1, 'don': 1, 't': 1, 'trust': 1, 'youtubers': 1, 'who': 1, 'marketing': 1, 'for': 1, 'sake': 1, 'money': 1, 'these': 1, 'people': 1, 'biggest': 1, 'frauds': 1})"
